bb,204.9681,0.490,0.296,0.761,0.000,0.000,0.000,1.000
sw,204.9681,2.401,1.000,0.400,0.000,0.000,0.000,1.000
E,204.9681,3.053,1.325,0.135,0.463,-0.386,0.268,0.751
RC,204.9681,3.276,0.654,0.261,0.261,-0.644,0.319,0.645
LF,204.9681,3.251,0.113,-0.095,-0.285,-0.940,0.140,0.128
RF,204.9681,3.249,0.124,0.114,0.073,-0.001,-0.623,0.778
LC,204.9681,3.082,0.670,-0.154,0.420,-0.232,-0.033,0.877
bb,205.0723,0.490,0.296,0.761,0.000,0.000,0.000,1.000
sw,205.0723,2.402,1.000,0.400,0.000,0.000,0.000,1.000
E,205.0723,3.039,1.315,0.127,0.468,-0.413,0.285,0.728
RC,205.0723,3.271,0.652,0.254,0.257,-0.666,0.322,0.621
LF,205.0723,3.257,0.112,-0.096,-0.311,-0.932,0.136,0.123
RF,205.0723,3.260,0.127,0.120,0.051,0.010,-0.648,0.760
LC,205.0723,3.095,0.668,-0.162,0.427,-0.250,-0.016,0.869
bb,205.1832,0.490,0.296,0.761,0.000,0.000,0.000,1.000
sw,205.1832,2.414,1.000,0.400,0.000,0.000,0.000,1.000
E,205.1832,3.027,1.305,0.118,0.470,-0.430,0.302,0.710
RC,205.1832,3.279,0.650,0.254,0.256,-0.687,0.350,0.584
LF,205.1832,3.260,0.112,-0.097,-0.328,-0.926,0.133,0.131
RF,205.1832,3.269,0.128,0.126,0.028,0.029,-0.662,0.749
LC,205.1832,3.115,0.663,-0.170,0.435,-0.260,0.007,0.862
bb,205.2935,0.490,0.296,0.761,0.000,0.000,0.000,1.000
sw,205.2935,2.439,1.000,0.400,0.000,0.000,0.000,1.000
E,205.2935,3.019,1.297,0.107,0.468,-0.443,0.318,0.695
RC,205.2935,3.283,0.650,0.262,0.261,-0.686,0.362,0.574
LF,205.2935,3.261,0.113,-0.097,-0.332,-0.925,0.129,0.130
RF,205.2935,3.268,0.128,0.127,0.032,0.033,-0.662,0.748
LC,205.2935,3.137,0.657,-0.178,0.442,-0.270,0.029,0.855
bb,205.4045,0.490,0.296,0.761,0.000,0.000,0.000,1.000
sw,205.4045,2.474,1.000,0.400,0.000,0.000,0.000,1.000
E,205.4045,3.018,1.299,0.102,0.458,-0.447,0.331,0.693
RC,205.4045,3.274,0.654,0.267,0.255,-0.690,0.361,0.573
LF,205.4045,3.260,0.115,-0.097,-0.332,-0.926,0.129,0.122
RF,205.4045,3.264,0.127,0.125,0.046,0.037,-0.657,0.751
LC,205.4045,3.158,0.653,-0.184,0.448,-0.279,0.051,0.848
bb,205.5046,0.490,0.296,0.761,0.000,0.000,0.000,1.000
sw,205.5046,2.515,1.000,0.400,0.000,0.000,0.000,1.000
E,205.5046,3.020,1.303,0.101,0.449,-0.448,0.335,0.697
RC,205.5046,3.261,0.655,0.269,0.245,-0.699,0.358,0.568
LF,205.5046,3.258,0.116,-0.097,-0.329,-0.928,0.129,0.116
RF,205.5046,3.259,0.125,0.121,0.066,0.024,-0.648,0.758
LC,205.5046,3.159,0.654,-0.188,0.441,-0.321,0.063,0.835
bb,205.6049,0.490,0.296,0.761,0.000,0.000,0.000,1.000
sw,205.6049,2.562,1.000,0.400,0.000,0.000,0.000,1.000
E,205.6049,3.025,1.303,0.101,0.450,-0.445,0.341,0.695
RC,205.6049,3.245,0.656,0.270,0.233,-0.705,0.351,0.570
LF,205.6049,3.257,0.117,-0.097,-0.326,-0.929,0.128,0.116
RF,205.6049,3.255,0.124,0.118,0.081,0.003,-0.638,0.765
LC,205.6049,3.152,0.659,-0.190,0.434,-0.343,0.067,0.830
bb,205.716,0.490,0.296,0.761,0.000,0.000,0.000,1.000
sw,205.716,2.621,1.000,0.400,0.000,0.000,0.000,1.000
E,205.716,3.026,1.302,0.103,0.450,-0.448,0.344,0.692
RC,205.716,3.230,0.658,0.270,0.221,-0.714,0.337,0.573
LF,205.716,3.257,0.118,-0.098,-0.325,-0.932,0.123,0.106
RF,205.716,3.252,0.123,0.116,0.092,-0.009,-0.627,0.774
LC,205.716,3.133,0.665,-0.192,0.428,-0.371,0.056,0.822
bb,205.8163,0.490,0.296,0.761,0.000,0.000,0.000,1.000
sw,205.8163,2.679,1.000,0.400,0.000,0.000,0.000,1.000
E,205.8163,3.026,1.304,0.106,0.449,-0.452,0.342,0.690
RC,205.8163,3.228,0.658,0.270,0.223,-0.717,0.334,0.570
LF,205.8163,3.257,0.119,-0.097,-0.312,-0.940,0.111,0.080
RF,205.8163,3.252,0.123,0.116,0.090,-0.005,-0.624,0.776
LC,205.8163,3.118,0.668,-0.189,0.426,-0.382,0.047,0.818
bb,205.9319,0.490,0.296,0.761,0.000,0.000,0.000,1.000
sw,205.9319,2.747,1.000,0.400,0.000,0.000,0.000,1.000
E,205.9319,3.029,1.307,0.117,0.448,-0.445,0.337,0.699
RC,205.9319,3.233,0.659,0.276,0.225,-0.712,0.330,0.577
LF,205.9319,3.253,0.118,-0.095,-0.290,-0.945,0.117,0.094
RF,205.9319,3.252,0.122,0.118,0.087,0.002,-0.624,0.776
LC,205.9319,3.105,0.671,-0.178,0.424,-0.375,0.042,0.823
bb,206.0376,0.490,0.296,0.761,0.000,0.000,0.000,1.000
sw,206.0376,2.817,1.000,0.400,0.000,0.000,0.000,1.000
E,206.0376,3.036,1.313,0.137,0.442,-0.408,0.321,0.731
